strategy,flip_size,category,n_genes,pct_consistent,pct_suspect_all,pct_only_at_100
core_targeted,5,core,60,1.0,0.0,0.0
core_targeted,20,core,240,0.9916666666666667,0.0125,0.004166666666666667
core_targeted,50,core,600,0.9833333333333333,0.021666666666666667,0.0033333333333333335
phage_targeted,5,phage,60,0.9833333333333333,0.2833333333333333,0.0
phage_targeted,20,phage,240,0.9875,0.13333333333333333,0.004166666666666667
phage_targeted,50,phage,600,0.9916666666666667,0.12833333333333333,0.0016666666666666668
random,5,core,8,1.0,0.0,0.0
random,5,other,52,1.0,0.057692307692307696,0.0
random,20,core,20,1.0,0.0,0.0
random,20,other,192,0.9947916666666666,0.0625,0.0
random,20,phage,24,1.0,0.125,0.0
random,20,resistance,4,1.0,0.0,0.0
random,50,core,40,0.975,0.0,0.025
random,50,other,448,0.9888392857142857,0.05803571428571429,0.0
random,50,phage,88,1.0,0.17045454545454544,0.0
random,50,resistance,24,1.0,0.125,0.0
